iter	Logloss
0	0.6898429075
1	0.6866674162
2	0.6836496506
3	0.6813837522
4	0.6791127579
5	0.6768228858
6	0.6741398971
7	0.6717818759
8	0.6692218937
9	0.6667927233
10	0.6643996446
11	0.6622158308
12	0.6599437741
13	0.6573901843
14	0.6550996549
15	0.6524213721
16	0.6501036656
17	0.6479108005
18	0.6455806484
19	0.6430994403
20	0.6408124611
21	0.6382905525
22	0.6360668186
23	0.633788164
24	0.6318608644
25	0.630060224
26	0.6274066128
27	0.6248771223
28	0.6223733323
29	0.6203821827
30	0.6178285164
31	0.6155182646
32	0.6138168959
33	0.6120928319
34	0.6103058725
35	0.6083122916
36	0.6062639993
37	0.6047026378
38	0.6028526199
39	0.6011901842
40	0.5994689238
41	0.5980441464
42	0.5962733174
43	0.5947068987
44	0.5929543594
45	0.5912062969
46	0.5892886715
47	0.5870034795
48	0.5851504149
49	0.5835621736
50	0.5810782905
51	0.5789380541
52	0.5773069243
53	0.575652664
54	0.5739793293
55	0.5723030589
56	0.5707218041
57	0.5693653476
58	0.5676856242
59	0.5660914846
60	0.5644462231
61	0.5628152928
62	0.5609806876
63	0.5597702545
64	0.5576597647
65	0.5564831157
66	0.5554277736
67	0.5540633128
68	0.5528009416
69	0.5510940404
70	0.5492801838
71	0.5476367663
72	0.5460717963
73	0.5441911155
74	0.5426465981
75	0.5413922607
76	0.5397533935
77	0.5378452939
78	0.5362343098
79	0.5343920518
80	0.5331561365
81	0.5316283768
82	0.5306365375
83	0.5294179889
84	0.5279845798
85	0.5265721951
86	0.5251406267
87	0.5238300441
88	0.5225554279
89	0.5210881826
90	0.5198995685
91	0.5187812341
92	0.5174324807
93	0.5163283868
94	0.5146142329
95	0.5129257284
96	0.5117320473
97	0.5099078367
98	0.5081770364
99	0.5066912103
100	0.5056415197
101	0.5042384029
102	0.5027640538
103	0.5015396149
104	0.5004507531
105	0.4993024795
106	0.4982890641
107	0.4969797281
108	0.4956640394
109	0.4947834138
110	0.493697348
111	0.4923633013
